class,WKA,WKC
Alphaproteobacteria,26.59277531,15.48332221
Gammaproteobacteria,18.8571853,4.263139077
Betaproteobacteria,8.645518537,12.69876638
Actinobacteria,8.352814606,7.781000581
Bacilli,14.05024583,0.846345251
Cytophagia,4.613286055,1.48213881
[Saprospirae],1.277706181,4.789908776
Thermoleophilia,0.498442767,4.877814385
Acidobacteria-6,0.553664427,4.7606298
Deltaproteobacteria,1.333913255,3.883702685
Others,15.22444773,39.13323205
