order,WKA,WKC
Sphingomonadales,14.12772744,4.850478421
Actinomycetales,8.341947678,7.551982071
Bacillales,13.8304242,0.830523627
Burkholderiales,3.996501847,8.366875185
Rhizobiales,5.321748114,6.646712641
Xanthomonadales,6.538079341,2.406433751
Pseudomonadales,6.794854803,0.951405827
Cytophagales,4.613286055,1.48213881
[Saprospirales],1.277706181,4.789908776
Alteromonadales,4.492414318,0.306947633
Others,30.66531002,61.81659326
