family,WKA,WKC
Sphingomonadaceae,12.0392526,2.744797161
Xanthomonadaceae,6.442997214,1.826339646
Bacillaceae,7.138474179,0.150208137
Pseudomonadaceae,6.257603885,0.899297503
Comamonadaceae,2.325575648,4.464512581
Chitinophagaceae,1.20614039,4.625543748
Hyphomicrobiaceae,1.810522977,3.527383115
Oxalobacteraceae,0.858482021,3.482719914
Caulobacteraceae,2.842652713,1.093170343
Sphingobacteriaceae,2.708205563,1.018025224
Others,56.37009281,76.16800263
