phylum,WKA,WKC
Proteobacteria,55.79690321,36.68523465
Actinobacteria,9.315336008,14.3689305
Bacteroidetes,11.93882854,8.563004166
Acidobacteria,1.413172048,15.47012973
Firmicutes,14.70308423,0.935678978
Chloroflexi,1.666385991,7.288855156
Verrucomicrobia,0.532032395,4.363998179
Planctomycetes,0.749617434,3.075663917
Gemmatimonadetes,0.457671007,2.809649884
Nitrospirae,0.11497231,2.024589378
Others,3.311996829,4.414265461
